2,0,1,19,0,1615288126,False,IN_SERVICE,1,1,1,0,0
3,0,0,20,0,1615288322,False,IN_SERVICE,1,1,1,0,0
4,2,1,17,0,1615288239,False,IN_SERVICE,1,1,1,2,0
5,34,0,8,0,1615288181,False,IN_SERVICE,1,1,1,34,0
6,5,0,15,0,1615288224,False,IN_SERVICE,1,1,1,5,0
7,0,0,16,0,1615288272,False,IN_SERVICE,1,1,1,0,0
8,0,1,23,0,1615288123,False,IN_SERVICE,1,1,1,0,0
9,0,1,23,0,1615288117,False,IN_SERVICE,1,1,1,0,0
12,2,0,14,0,1615288317,False,IN_SERVICE,1,1,1,2,0
13,0,0,30,0,1615288129,False,IN_SERVICE,1,1,1,0,0
14,15,1,14,0,1615288193,False,IN_SERVICE,1,1,1,15,0
16,0,0,0,0,0,False,END_OF_LIFE,1,0,0,0,0
17,1,1,18,0,1615288110,False,IN_SERVICE,1,1,1,1,0
18,0,0,0,0,0,False,END_OF_LIFE,1,0,0,0,0
20,5,0,15,0,1615288183,False,IN_SERVICE,1,1,1,5,0
21,11,2,11,0,1615288258,False,IN_SERVICE,1,1,1,11,0
22,1,0,19,0,1615288217,False,IN_SERVICE,1,1,1,1,0
23,1,1,9,0,1615288251,False,IN_SERVICE,1,1,1,1,0
24,1,0,17,0,1615288229,False,IN_SERVICE,1,1,1,1,0
25,7,2,15,0,1615288212,False,IN_SERVICE,1,1,1,7,0
26,5,0,19,0,1615288348,False,IN_SERVICE,1,1,1,5,0
27,1,0,15,0,1615288175,False,IN_SERVICE,1,1,1,1,0
29,16,0,13,0,1615288129,False,IN_SERVICE,1,1,1,16,0
30,3,0,17,0,1615288165,False,IN_SERVICE,1,1,1,3,0
32,0,0,16,0,1615288162,False,IN_SERVICE,1,1,1,0,0
33,0,1,19,0,1615288347,False,IN_SERVICE,1,1,1,0,0
34,0,0,0,0,0,False,END_OF_LIFE,1,0,0,0,0
35,2,0,18,0,1615288305,False,IN_SERVICE,1,1,1,2,0
38,2,0,18,0,1615288122,False,IN_SERVICE,1,1,1,2,0
41,11,1,7,0,1615288323,False,IN_SERVICE,1,1,1,11,0
42,2,0,16,0,1615288170,False,IN_SERVICE,1,1,1,2,0
43,12,0,8,0,1615288306,False,IN_SERVICE,1,1,1,12,0
44,0,0,20,0,1615288095,False,IN_SERVICE,1,1,1,0,0
45,3,1,16,0,1615288139,False,IN_SERVICE,1,1,1,3,0
46,0,1,17,0,1615288132,False,IN_SERVICE,1,1,1,0,0
48,7,0,9,0,1615288333,False,IN_SERVICE,1,1,1,7,0
50,3,0,17,0,1615288120,False,IN_SERVICE,1,1,1,3,0
51,2,0,10,0,1615288234,False,IN_SERVICE,1,1,1,2,0
54,0,3,17,0,1615288251,False,IN_SERVICE,1,1,1,0,0
56,6,0,10,0,1615288313,False,IN_SERVICE,1,1,1,6,0
58,2,0,17,0,1615288125,False,IN_SERVICE,1,1,1,2,0
59,0,2,18,0,1615288339,False,IN_SERVICE,1,1,1,0,0
60,4,0,16,0,1615288300,False,IN_SERVICE,1,1,1,4,0
63,2,0,18,0,1615288112,False,IN_SERVICE,1,1,1,2,0
64,0,0,20,0,1615288199,False,IN_SERVICE,1,1,1,0,0
65,2,0,18,0,1615288286,False,IN_SERVICE,1,1,1,2,0
66,2,2,16,0,1615288106,False,IN_SERVICE,1,1,1,2,0
67,0,0,0,0,0,False,END_OF_LIFE,1,0,0,0,0
69,0,0,16,0,1615288117,False,IN_SERVICE,1,1,1,0,0
70,6,2,12,0,1615288136,False,IN_SERVICE,1,1,1,6,0
71,2,0,28,0,1615288161,False,IN_SERVICE,1,1,1,2,0
73,5,0,11,0,1615288358,False,IN_SERVICE,1,1,1,5,0
74,7,2,21,0,1615288187,False,IN_SERVICE,1,1,1,7,0
75,2,0,17,0,1615288136,False,IN_SERVICE,1,1,1,2,0
76,0,0,20,0,1615288263,False,IN_SERVICE,1,1,1,0,0
79,0,0,30,0,1615288188,False,IN_SERVICE,1,1,1,0,0
80,3,0,13,0,1615288238,False,IN_SERVICE,1,1,1,3,0
81,0,0,0,0,0,False,END_OF_LIFE,1,0,0,0,0
82,3,1,16,0,1615288236,False,IN_SERVICE,1,1,1,3,0
83,5,0,14,0,1615288359,False,IN_SERVICE,1,1,1,5,0
84,1,0,19,0,1615288179,False,IN_SERVICE,1,1,1,1,0
85,0,0,20,0,1615288214,False,IN_SERVICE,1,1,1,0,0
86,0,2,18,0,1615288301,False,IN_SERVICE,1,1,1,0,0
87,7,0,7,0,1615288218,False,IN_SERVICE,1,1,1,7,0
89,8,0,12,0,1615288134,False,IN_SERVICE,1,1,1,8,0
91,0,0,20,0,1615288173,False,IN_SERVICE,1,1,1,0,0
92,18,1,1,0,1615288325,False,IN_SERVICE,1,1,1,18,0
93,2,4,13,0,1615288228,False,IN_SERVICE,1,1,1,2,0
94,22,0,8,0,1615288242,False,IN_SERVICE,1,1,1,22,0
95,2,0,14,0,1615288332,False,IN_SERVICE,1,1,1,2,0
96,1,2,17,0,1615288329,False,IN_SERVICE,1,1,1,1,0
98,5,1,10,0,1615288349,False,IN_SERVICE,1,1,1,5,0
99,11,0,9,0,1615288227,False,IN_SERVICE,1,1,1,11,0
100,0,0,0,0,0,False,END_OF_LIFE,1,0,0,0,0
101,2,0,17,0,1615288287,False,IN_SERVICE,1,1,1,2,0
103,0,0,0,0,0,False,END_OF_LIFE,1,0,0,0,0
104,6,0,24,0,1615288356,False,IN_SERVICE,1,1,1,6,0
107,7,0,9,0,1615288274,False,IN_SERVICE,1,1,1,7,0
