vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_id_motor,vehiculo_cilindrada,vehiculo_potencia,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,lca_numero,fecha_firma,ensayo_gei_numero,ensayo_gei_laboratorio,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto,id_etiqueta
TOYOTA,LAND CRUISER PRADO,TODO TERRENO,4x4,TOYOTA 1GR-FE,3956,202,AUTOMÁTICA,NAFTA,EURO V,,20/11/2017,H1860666086/106,VINÇOTTE nv,267.8,15.42,9.2,11.49,000505B
FORD,S-MAX,SEDÁN 5 PUERTAS,4x2,FORD 2.0L GTDI,1999,,AUTOMÁTICA,NAFTA,EURO VI,,11/08/2015,T02 USQ305855-3,VCA,204,12.5,6.9,8.9,000105A
BMW,118i,SEDÁN 3/5 PUERTAS,4x2,BMW B38B15A (100 kW),1499,,AUTOMÁTICA,NAFTA,EURO VI b,,04/09/2015,201535562,DEKRA,122,6.4,4.6,5.2,000124A
HYUNDAI,TUCSON,SUV,4x2,HYUNDAI G4NA,1999,,MANUAL,NAFTA,EURO V,,10/11/2015,VSQ316426,VCA,186.1,10.82,6.2,7.7,000174A
HYUNDAI,TUCSON,SUV,4x4,HYUNDAI G4NA,1999,,MANUAL,NAFTA,EURO V,,10/11/2015,VSQ316426,VCA,192.9,11.03,6.7,8.3,000175A
HYUNDAI,TUCSON,SUV,4x2,HYUNDAI G4NA,1999,,AUTOMÁTICA,NAFTA,EURO V,,10/11/2015,VSQ316426,VCA,188.98,11.26,6.31,8.1,000176A
HYUNDAI,TUCSON,SUV,4x4,HYUNDAI G4NA,1999,,AUTOMÁTICA,NAFTA,EURO V,,10/11/2015,VSQ316426,VCA,200.06,11.59,6.86,8.6,000177A
BMW,320i,SEDÁN 4 PUERTAS,4x2,BMW B48B20A,1998,135,AUTOMÁTICA,NAFTA,EURO VI b,,10/11/2016,201535474,DEKRA,134,7.6,4.7,5.8,000539C
HYUNDAI,TUCSON,SUV,4x2 / 4x4,HYUNDAI D4HA,1995,,MANUAL,DIESEL,EURO V,,20/11/2015,VSR337023,VCA,146,6.9,4.8,5.6,000189B
HYUNDAI,TUCSON,SUV,4x2,HYUNDAI D4HA,1995,,AUTOMÁTICA,DIESEL,EURO V,,20/11/2015,VSQ316435,VCA,159,7.9,5.1,6.1,000190B
HYUNDAI,TUCSON,SUV,4x4,HYUNDAI D4HA,1995,,AUTOMÁTICA,DIESEL,EURO V,,20/11/2015,VSQ316435,VCA,169,8.2,5.4,6.4,000191B
HYUNDAI,CRETA (ix25),SUV,4x2,HYUNDAI G4FG,1591,,MANUAL,NAFTA,EURO V,,01/04/2016,KR15060114,IDIADA,156,8.7,5.6,6.7,000170A
HYUNDAI,CRETA (ix25),SUV,4x2,HYUNDAI G4FG,1591,,AUTOMÁTICA,NAFTA,EURO V,,01/04/2016,KR15060114,IDIADA,163,9.1,5.8,7,000171A
TOYOTA,PRIUS,SEDÁN 5 PUERTAS,4x2,TOYOTA 2ZR-FXE NAFTA ELÉCTRICO,1798,,CVT,NAFTA,EURO V,,18/12/2017,JSQ326127,VCA,88,3.7,3.8,3.8,000003A
HYUNDAI,TUCSON,SUV,4x2 / 4x4,HYUNDAI G4FJ,1591,,AUTOMÁTICA,NAFTA,EURUO V,,03/05/2016,83-V039-44286-10,TÜV Rheinland,184,10,6.7,7.9,000181B
PEUGEOT,308,BERLINA 5 PUERTAS,4x2,PEUGEOT EP6FDTR (5GN/5GP),1598,,MANUAL,NAFTA,EURO VI b,,21/04/2016,15/01222,UTAC,144,8.1,4.9,6,000141A
LEXUS,GS350,SEDÁN 4 PUERTAS,4x2,TOYOTA 2GR-FKS,3456,,AUTOMÁTICA,NAFTA,EURO V,,11/04/2018,H1560161643/259,AIV-VINÇOTTE International n.v.,224,13.4,7.4,9.6,000223B
CHEVROLET,TRACKER 1.8,5 PUERTAS HB,4x2,CHEVROLET 2H0 A18XER o F18D4 (1.8 DOHC),1796,,MANUAL,NAFTA,EURO V,,07/02/2017,KR18060019,IDIADA,190.6,11.43,6.3,8.19,000342B
CHEVROLET,TRACKER 1.8,5 PUERTAS HB,4x4,CHEVROLET 2H0 A18XER o F18D4 (1.8 DOHC),1796,,AUTOMÁTICA,NAFTA,EURO V,,09/02/2018,KR18060020,IDIADA,204.9,12.06,6.91,8.8,000350B
CITROËN / DS,DS 3,BERLINA 3 PUERTAS CABRIOLET,4x2,CITROËN EP6FDTX (5GR),1598,,MANUAL,NAFTA,EURO VI b,,29/06/2016,15/09978,UTAC,129.4,6.9,4.6,5.4,000131A
PEUGEOT,208,BERLINA 5 PUERTAS,4x2,PEUGEOT DV6DTED (9HP),1560,,MANUAL,GAS OIL,EURO V,,13/06/2016,15/06824,UTAC,99.9,4.6,3.5,3.9,000353B
HONDA,CIVIC,SEEDÁN 4 PUERTAS,4x2,HONDA L15B7,1498,,CVT,NAFTA,EURO V,,18/08/2016,T02 BSR345745 00,VCA,143,8.2,4.9,6.1,000109A
HONDA,CIVIC,SEDÁN 4 PUERTAS,4x2,HONDA R20Z5,1997,,MANUAL,NAFTA,EURO V,,18/08/2016,T02 BSR345745 02 01,VCA,169,9.9,5.5,7,000414B
HONDA,CIVIC,SEDÁN 4 PUERTAS,4x2,HONDA R20Z5,1997,,CVT,NAFTA,EURO V,,18/08/2016,T02 BSR345745 01,VCA,158.39,9.09,5.46,6.8,000128A
CHEVROLET,COBALT 1.8 TRANSMISIÓN AUTOMÁTICA,SEDÁN 4 PUERTAS,4x2,CHEVROLET A18XE / LJ1 (1.8 SOHC),1796,,AUTOMÁTICA,NAFTA,EURO V,,18/01/2018,CPLE 076/2016 Rev.2,CAMPO DE PROVAS DA CRUZ ALTA GM BRASIL,186.39,11.54,5.86,7.91,000166A
CHEVROLET,COBALT 1.8,SEDÁN 4 PUERTAS,4x2,CHEVROLET A18XE / LJ1 (1.8 SOHC),1796,,MANUAL,NAFTA,EURO V,,18/01/2018,CPLE075/2016 REV. 2,CAMPO DE PROVAS DA CRUZ ALTA GM BRASIL,174.66,10.53,5.6,7.42,000094A
NISSAN,MARCH,SEDÁN 5 PUERTAS,4x2,NISSAN HR16,1598,79,MANUAL,NAFTA,EURO V,,,LC 0061 B31 18,LUXCONTROL S.A.,151,8.6,5.3,6.5,000356B
NISSAN,MARCH,SEDÁN 5 PUERTAS,4x2,NISSAN HR16,1598,79,AUTOMÁTICA,NAFTA,EURO V,,,LC 0061 B32 18,LUXCONTROL S.A.,160,9.1,5.6,6.9,000357B
PEUGEOT / CITROËN,301 / C-ELYSÉE ,BERLINA 4 PUERTAS,4x2,PEUGEOT / CITROËN EC5 (NFP) ,1587,,MANUAL,NAFTA,EURO VI b,,12/08/2016, 15/0777,UTAC,150,8.7,5,6.4,000127A
PEUGEOT / CITROËN,301 / C-ELYSÉE ,BERLINA 4 PUERTAS,4x2,PEUGEOT / CITROËN EC5 (NFP) ,1587,,AUTOMÁTICA,NAFTA,EURO VI b,,,15/07251,UTAC,157.8,9.2,5.3,6.8,000129A
PEUGEOT / CITROËN,301 / C-ELYSÉE ,BERLINA 4 PUERTAS,4X2,PEUGEOT / CITROËN DV6TED (9HP) ,1560,,MANUAL,GAS OIL,EURO V,,18/08/2016,13/08906,UTAC,109.3,4.9,3.9,4.3,000136A
CHEVROLET,CAMARO 6.2,SEDÁN 3 PUERTAS COUPÉ,4x2,CHEVROLET LT1 - 6.2L,6162,,AUTOMÁTICA,NAFTA,EURO VI a,,30/08/2016,LCA 53 0012 297 15,LUXCONTROL S.A.,260,17.4,7.8,11.3,000075A
