vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_id_motor,vehiculo_cilindrada,vehiculo_potencia,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,lca_numero,fecha_firma,ensayo_gei_numero,ensayo_gei_laboratorio,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto,id_etiqueta
HONDA,FIT,SEDÁN 5 PUERTAS,4x2,HONDA L15ZA,1496,,MANUAL,NAFTA,EURO V,,31/01/2018,T02 BST402848 02,VCA,142.92,7.86,5.12,6.13,000121A
HONDA,FIT,SEDÁN 5 PUERTAS,4x2,HONDA L15ZA,1496,,CVT,NAFTA,EURO V,,31/01/2018,T02 BST402848 01,VCA,137.51,7.28,5.08,5.9,000119A
BMW,X1 sDrive 20i,RURAL,4x2,BMW B48A20A,1998,,AUTOMÁTICA,NAFTA,EURO VI c,,22/01/2018,201741950,DEKRA,139,7.4,5.3,6.1,000125A
BMW,X2 sDrive 20i,RURAL,4x2,BMW B48A20A,1998,,AUTOMÁTICA,NAFTA,EURO VI c,,31/01/2018,201742594,DEKRA,138,7.4,5.3,6,000122A
LIFAN,X70,SUV,4x2,LIFAN LF483Q,1998,,MANUAL,NAFTA,EURO V,,06/02/2018,89-R83-526/17-00,TÜV Rheinland,189,10.5,6.5,7.9,000194B
LIFAN,X70,SUV,4x2,LIFAN LF483Q,1998,,CVT,NAFTA,EURO V,,06/02/2018,89-R83-527/17-00,TÜV Rheinland,207,11.7,6.9,8.7,000195B
TOYOTA,YARIS,SEDÁN 4/5 PUERTAS,4x2,TOYOTA 2NR-FE,1496,,MANUAL,NAFTA,EURO V,,06/02/2018,H1760615689/277 TR,VINÇOTTE nv,143.1,7.88,5.14,6.15,000009A
TOYOTA,YARIS,SEDÁN 4/5 PUERTAS,4x2,TOYOTA 2NR-FE,1496,,CVT,NAFTA,EURO V,,06/02/2018,H1760615689/278 TR,VINÇOTTE nv,136.2,7.19,5.07,5.85,000010A
ALFA ROMEO,STELVIO QUADRIFOGLIO VERDI,BERLINA 4 PUERTAS Y PORTÓN TRASERO,4x4,ALFA ROMEO 670051007,2891,,AUTOMÁTICA,NAFTA,EURO VI,2,05/04/2018,H0721/2/BO,CENTRO PROVA AUTOVEICOLI BOLOGNA,210.21,11.76,7.56,9.09,000211B
BMW,X1 xDrive 25i,RURAL,4x4,BMW B48A20B,1998,,AUTOMÁTICA,NAFTA,EURO VI c,3,13/03/2018,201742421,DEKRA,151,8,5.9,6.6,000142A
PEUGEOT,308,BERLINA 5 PUERTAS,4x2,PEUGEOT EP6FDTM (5GY),1598,,AUTOMÁTICA,NAFTA,EURO V,4,12/04/2018,16/07298,UTAC,153,8.8,5.2,6.5,000215B
HYUNDAI,IONIQ HYBRID LH BLUE DRIVE,SEDÁN 5 PUERTAS,4x2,HYUNDAI G4LE / HYUNDAI MOBIS 36500-2BDB0,1580,,AUTOMÁTICA,NAFTA / ELECTRICIDAD,EURO V,6,13/03/2018,83-V039-45954-30,TÜV Rheinland,91,3.9,3.9,4,000253B
MERCEDES-BENZ,SLC 300,CONVERTIBLE,4x2,MERCEDES-BENZ 274.920,1991,,AUTOMÁTICA,NAFTA,EURO VI b,7,13/03/2018,42.04.1314.04,TÜV NORD Mobilität,147.1,7.9,5.3,6.3,000222B
VOLKSWAGEN,AMAROK,PICK UP 2 PUETAS CABINA SIMPLE PICK UP 4 PUERTAS CABINA DOBLE,4x2,VOLKSWAGEN CNFB,1968,103,MANUAL,GAS OIL,EURO V,15,09/03/2018,42.06.999.00,TÜV NORD Mobilität,194.2,10.3,7.3,8.4,000241B
VOLKSWAGEN,AMAROK,PICK UP 2 PUETAS CABINA SIMPLE PICK UP 4 PUERTAS CABINA DOBLE,4x4,VOLKSWAGEN CNFB,1968,103,MANUAL,GAS OIL,EURO V,15,09/03/2018,42.06.999.00,TÜV NORD Mobilität,188.3,10,7.1,8.2,000242B
JEEP,COMPASS TRAILHAWK 2.0 AT9 4WD,BERLINA,4x4,FIAT 55261674,1956,,AUTOMÁTICA,GAS OIL,EURO V,18,02/03/2018,16982,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL,187.55,9.19,5.95,7.13,000237B
RENAULT,DUSTER OROCH 2.0 16v,CAMIONETA DE 4 PUERTAS,4x4,RENAULT F4R E4,1998,105,MANUAL,NAFTA,EURO V,19,28/03/2018,2-0264/17,DELPHI,190.84,11.14,6.43,8.17,000617C
LAND ROVER,DISCOVERY SPORT,RURAL 4/5 PUERTAS,4x4,JAGUAR PT204,1997,177,AUTOMÁTICA,NAFTA,EURO VI,21,28/03/2018,E5S377071,VCA,182,9.6,7.1,8,000261B
CHEVROLET,EQUINOX,SUV 5 PUERTAS,4x2,CHEVROLET LYX (1.5L),1490,,AUTOMÁTICA,NAFTA,EURO V,38,04/05/2018,LCA 53 0012 079 17,LUXCONTROL S.A.,177.3,9.87,6.39,7.67,000011A
CHEVROLET,EQUINOX,SUV 5 PUERTAS,4x4,CHEVROLET LYX (1.5L),1490,,AUTOMÁTICA,NAFTA,EURO V,39,04/05/2018,LCA 53 0012 079 17,LUXCONTROL S.A.,187.9,10.62,6.67,8.11,000012A
HYUNDAI,VELOSTER,COUPÉ 4 PUERTAS,4x2,HYUNDAI G4NH,1999,,MANUAL,NAFTA,EURO V,44,12/04/2018,83-V039-52789-61,TÜV Rheinland,166,9.6,5.6,7.1,000207B
HYUNDAI,VELOSTER,COUPÉ 4 PUERTAS,4x2,HYUNDAI G4NH,1999,,AUTOMÁTICA,NAFTA,EURO V,45,12/04/2018,83-V039-52789-62,TÜV Rheinland,168,9.7,5.7,7.2,000208B
HYUNDAI,VELOSTER 1.6T,COUPÉ 4 PUERTAS,4x2,HYUNDAI G4FJ,1591,,MANUAL,NAFTA,EURO V,49,05/04/2018,83-V039-52789-59,TÜV Rheinland,175,10.2,5.9,7.5,000226B
HYUNDAI,VELOSTER 1.6T,COUPÉ 4 PUERTAS,4x2,HYUNDAI G4FJ,1591,,AUTOMÁTICA,NAFTA,EURO V,50,05/04/2018,83-V039-52789-60,TÜV Rheinland,157,8.8,5.5,6.7,000227B
FORD,KA,SEDÁN 4 / 5 PUERTAS,4x2,FORD 1.5L Dragon Ti-VCT,1496,90.5,MANUAL,NAFTA,EURO V,54,06/07/2018,TPG142379,FORD MOTR COMPANY BRASIL,134.16,7.04,5.04,5.77,000473B
FORD,KA,SEDÁN 4 / 5 PUERTAS,4x2,FORD 1.5L Dragon Ti-VCT,1496,90.5,AUTOMÁTICA,NAFTA,EURO V,55,06/07/2018,TPG142416,FORD MOTR COMPANY BRASIL,150.06,8.18,5.44,6.45,000474B
JAC,T6,PICK UP,4x2 4x4,JAC HFC4DB2-1D1,1998,100,MANUAL,GAS OIL,EURO V,56,20/04/2018,17/07916,UTAC,222,9.1,8,8.4,000620C
JAC,T8,PICK UP,4x2 4x4,JAC HFC4DB2-1D1,1998,100,MANUAL,GAS OIL,EURO V,56,28/02/2020,17/07916,UTAC,222,9.1,8,8.4,000620C
HYUNDAI,HD35L,COMERCIAL LIVIANO,4x2,HYUNDAI D4CB,2497,,MANUAL,GAS OIL,EURO V,66,27/04/2018,KSS384808 (9163 3776),VCA,276.19,13.01,9,10.51,000126A
HONDA,ACCORD,SEDÁN 4 PUERTAS,4x2,HONDA K20C4,1996,,AUTOMÁTICA,NAFTA,EURO V,68,13/04/2018,H1760552835/098,VINÇOTTE nv,192,12.1,6.1,8.3,000112A
HONDA,ACCORD,SEDÁN 4 PUERTAS,4x2,HONDA L15BE,1498,,CVT,NAFTA,EURO V,69,13/04/2018,H1760552835/097,VINÇOTTE nv,156,9,5.3,6.7,000107A
VOLVO,XC40 T5,SUV 4/5 PUERTAS,4x4,VOLVO B4204T14,1969,,AUTOMÁTICA,NAFTA,EURO VI d,70,27/04/2018,TR*715/2007*2017/1347*0154*00,AVL MTC AB,205,12.4,7.7,9.1,000114A
SHINERAY,X7,FAMILIAR RURAL,4x2,SHINERAY DLEG18,1794,,MANUAL,NAFTA,EURO V,71,11/06/2018,17-00190-CP-511A-00,TÜV SÜD Auto Service,207,11.7,6.9,8.7,000113A
MERCEDES-BENZ,E 220 d 4MATIC ALL TERRAIN,FAMILIAR 4 PUERTAS,4x4,MERCEDES-BENZ 654.920,1950,,AUTOMÁTICA,GAS OIL,EURO VI b,72,07/05/2018,42.04.1342.06,TÜV NORD Mobilität,140,6,5,5.3,000102A
VOLKSWAGEN,TIGUAN – TIGUAN LWB,SUV – CROSSOVER 4 PUERTAS CON PORTÓN TRASERO,4x4,VOLKSWAGEN DBGC,1968,,AUTOMÁTICA,GAS OIL,EURO V,73,16/05/2018,42.06.953.01,TÜV NORD Mobilität,152,8.4,5.9,6.8,000089A
JAC,X200,CAMIÓN,4x2,JAC HFC4DB2.1D,1999,,MANUAL,GAS OIL,EURO V,75,21/06/2018,CSR325069,VCA,266,8.3,12.95,10.02,000013A
MERCEDES-BENZ,A 200,FAMILIAR,4x2,MERCEDES-BENZ 282.914,1333,,AUTOMÁTICA,NAFTA,EURO VI b,76,16/05/2018,42.04.1408.00,TÜV NORD Mobilität,133,7.3,5,5.8,000014A
CHANGAN,CS75,RURAL,4x2,CHANGAN JL486ZQ2,1798,,AUTOMÁTICA,NAFTA,EURO V,78,11/06/2018,CN16030389 EXTENSION 01,IDIADA,186,11.4,5.6,7.7,000015A
BMW,X3 sDrive 20i,RURAL,4x2,BMW B48B20A,1998,,AUTOMÁTICA,NAFTA,EURO VI d,79,16/05/2018,201742827,DEKRA,169,8.8,6.6,7.4,000016A
BMW,X3 xDrive 20i,RURAL,4x4,BMW B48B20A,1998,,AUTOMÁTICA,NAFTA,EURO VI d,79,16/05/2018,201742827,DEKRA,173,8.9,6.8,7.6,000017A
FIAT,UNO DRIVE 1.3 GSE,BERLINA,4x2,FIAT 55282059,1332,,MANUAL,NAFTA,EURO V,80,24/07/2018,3180064,FIAT AUTOMOVEIS S.A.,146.42,8.05,5.34,6.34,000018A
FIAT,UNO SPORTING 1.3 GSE,BERLINA,4x2,FIAT 55282059,1332,,MANUAL,NAFTA,EURO V,80,24/07/2018,3180064,FIAT AUTOMOVEIS S.A.,146.42,8.05,5.34,6.34,000018A
FIAT,UNO WAY 1.3 GSE,BERLINA,4x2,FIAT 55282059,1332,,MANUAL,NAFTA,EURO V,80,24/07/2018,3180064,FIAT AUTOMOVEIS S.A.,146.42,8.05,5.34,6.34,000018A
LAND ROVER,RANGE ROVER SPORT,RURAL 4/5 PUERTAS,4x4,FORD 306DT,2993,,AUTOMÁTICA,GAS OIL,EURO VI b,83,16/05/2018,ESQ317814,VCA,185,7.9,6.4,7,000019A
LAND ROVER,RANGE ROVER SPORT,RURAL 4/5 PUERTAS,4x4,FORD 306PS,2995,,AUTOMÁTICA,NAFTA,EURO V,84,16/05/2018,ESQ320217,VCA,258,14.9,8.4,10.8,000020A
DS,DS 7 CROSSBACK,RURAL 5 PUERTAS,4x2,PSA EP6FDTM (5GY),1598,,AUTOMÁTICA,NAFTA,EURO V,89,06/07/2018,17/09279,UTAC,169,9.9,6,7.4,000021A
LIFAN,MYWAY X7,RURAL 5 PUERTAS,4x2,LIFAN LFB479Q-h,1794,,AUTOMATICA,NAFTA,EURO V,90,21/06/2018,CN18010463,IDIADA,198,10.99,7.04,8.5,000022A
LAND ROVER,RANGE ROVER SPORT,RURAL 4/5 PUERTAS,4x4,FORD 508PS,4999,,AUTOMÁTICA,NAFTA,EURO VI b,92,21/06/2018,ESS384911,VCA,310,19.8,10,13.6,000074A
VOLVO,XC40 T4,SUV 4/5 PUERTAS,4x2,VOLVO B4204T47,1969,,AUTOMÁTICA,NAFTA,EURO VI d,93,19/06/2018,TR*715/2007*2017/1347*0169*00,AVL MTC AB,189,12.1,6.9,8.4,000117A
MINI,JOHN COOPER WORKS,SEDÁN 3 PUERTAS,4x2,MINI B48A20B,1998,,MANUAL,NAFTA,EURO VI c,98,31/08/2018,201742506,DEKRA,157,8.6,5.9,6.9,000082A
MINI,JOHN COOPER WORKS,CONVERTIBLE,4x2,MINI B48A20B,1998,,MANUAL,NAFTA,EURO VI c,98,31/08/2018,201742506,DEKRA,159,8.7,5.9,7,000083A
MINI,JOHN COOPER WORKS,SEDÁN 3 PUERTAS,4x2,MINI B48A20B,1998,,AUTOMÁTICA,NAFTA,EURO VI c,99,31/08/2018,201742506,DEKRA,137,7.1,5.3,6,000084A
MINI,JOHN COOPER WORKS,CONVERTIBLE,4x2,MINI B48A20B,1998,,AUTOMÁTICA,NAFTA,EURO VI c,99,31/08/2018,201742506,DEKRA,144,8.5,5.8,6.8,000085A
DOMY,X5,SEDÁN,4x2,MITSUBISHI 4A91T,1499,,CVT,NAFTA,EURO V,104,17/08/2018,CN17040186 ,IDIADA,188,10.1,6.7,7.9,000023A
CITROËN,C4 CACTUS,SEDÁN 5 PUERTAS (FAMILIAR),4x2,CITROËN EP6FDTM (5GY),1598,,AUTOMÁTICA,NAFTA,EURO V,105,05/07/2018,BR17110001,IDIADA,177,9.9,6.3,7.6,000024A
CITROËN,C4 CACTUS,FAMILIAR 5 PUERTAS,4x2,CITROËN EC5 (NFP),1587,,MANUAL,NAFTA,EURO V,106,05/07/2018,1-0244/17,DELPHI,177.53,10.39,5.96,7.6,000025A
CITROËN,C4 CACTUS,FAMILIAR 5 PUERTAS,4x2,CITROËN EC5 (NFP),1587,,AUTOMÁTICA,NAFTA,EURO V,107,06/07/2018,3-0241/17,DELPHI,182.49,9.48,6.83,7.81,000026A
BMW,X2 sDrive 18i,RURAL,4x2,BMW B38A15A,1499,,MANUAL,NAFTA,EURO VI c,108,25/07/2018,201743657,DEKRA,139,7.3,5.4,6.1,000027A
BMW,X2 sDrive 18i,RURAL,4x2,BMW B38A15A,1499,,AUTOMÁTICA,NAFTA,EURO VI c,109,25/07/2018,201743657,DEKRA,143,7.6,5.6,6.3,000028A
BORGWARD,BX7,SEDÁN,4x2,BORGWARD BWE420B,1981,,AUTOMÁTICA,NAFTA,EURO V,110,25/07/2018,CN16060398,IDIADA,221,12.1,7.61,9.3,000029A
BORGWARD,BX7,SEDÁN,4x4,BORGWARD BWE420B,1981,,AUTOMÁTICA,NAFTA,EURO V,110,25/07/2018,CN16060399,IDIADA,235.11,13.2,7.89,9.83,000030A
BORGWARD,BX5,SEDÁN,4x2,BORGWARD BWE418A,1797,,AUTOMÁTICA,NAFTA,EURO V,111,25/07/2018,CN17030294,IDIADA,194.7,11.16,6.48,8.2,000031A
BORGWARD,BX5,SEDÁN,4x4,BORGWARD BWE418A,1797,,AUTOMÁTICA,NAFTA,EURO V,111,25/07/2018,CN17030295,IDIADA,211.6,12.15,7.05,8.92,000032A
CHANGAN,CS75,RURAL,4x4,CHANGAN JL486ZQ2,1798,,AUTOMÁTICA,NAFTA,EURO V,112,25/07/2018,CN16030400 EXTENSION 01,IDIADA,244,13.3,8.5,10.3,000033A
PORSCHE,911 GT3 RS,COUPÉ 2 PUERTAS,4x2,PORSCHE DGG,3996,,AUTOMÁTICA,NAFTA,EURO V,113,13/08/2018,42.07.235.01,TÜV NORD Mobilität,296.8,19.2,9,12.8,000034A
MINI,COOPER,SEDÁN 3 PUERTAS,4x2,MINI B38A15A,1499,,MANUAL,NAFTA,EURO VI c,114,02/08/2018,201742555,DEKRA,118,6.4,4.5,5.2,000035A
MINI,COOPER,SEDÁN 5 PUERTAS,4x2,MINI B38A15A,1499,,MANUAL,NAFTA,EURO VI c,114,02/08/2018,201742555,DEKRA,119,6.4,4.5,5.2,000036A
MINI,COOPER,CONVERTIBLE,4x2,MINI B38A15F,1499,,MANUAL,NAFTA,EURO VI c,114,02/08/2018,201742555,DEKRA,128,6.6,5,5.6,000037A
MINI,COOPER,SEDÁN 3 PUERTAS,4x2,MINI B38A15A,1499,,AUTOMÁTICA,NAFTA,EURO VI c,115,02/08/2018,201742574,DEKRA,122,6.2,4.8,5.3,000038A
MINI,COOPER,SEDÁN 5 PUERTAS,4x2,MINI B38A15A,1499,,AUTOMÁTICA,NAFTA,EURO VI c,115,02/08/2018,201742574,DEKRA,123,6.3,4.9,5.4,000039A
MINI,COOPER,CONVERTIBLE,4x2,MINI B38A15F,1499,,AUTOMÁTICA,NAFTA,EURO VI c,115,02/08/2018,201742574,DEKRA,129,6.5,5.2,5.6,000040A
DS,DS 7 CROSSBACK,RURAL 5 PUERTAS,4x2,PSA DW10FC (EHZ),1997,,AUTOMÁTICA,GAS OIL,EURO V,117,15/08/2018,18/00879,UTAC,138.5,6.3,4.7,5.3,000041A
AUDI,A6,SEDÁN 4 PUERTAS,4X4,AUDI DLZA,2995,,AUTOMÁTICA,NAFTA,EURO VI b,118,15/08/2018,AUA5475B,ATE-EL LUXEMBOURG,167,9.6,6,7.4,000042A
AUDI,A7 - A7 SPORTBACK,SEDÁN 4 PUERTAS CON PORTÓN TRASERO,4X4,AUDI DLZA,2995,,AUTOMÁTICA,NAFTA,EURO VI b,118,15/08/2018,AUA5475B,ATE-EL LUXEMBOURG,168,9.6,6.1,7.4,000043A
PEUGEOT,308,BERLINA 5 PUERTAS,4x2,PEUGEOT,1598,,AUTOMÁTICA,NAFTA,EURO V,121,17/08/2018,18/00793,UTAC,136.96,7.46,5.17,6.01,000044A
BMW,X4 xDrive 20i,SEDÁN 5 PUERTAS,4x4,BMW B48B20A,1998,,AUTOMÁTICA,NAFTA,EURO VI c,122,13/08/2018,201843871,DEKRA,178,9,7.1,7.8,000045A
NISSAN,FRONTIER o NP300 FRONTIER,PICK UP,4x2,RENAULT YS23 260 o YS23,2298,,MANUAL,GAS OIL,EURO V,123,31/08/2018,PC18040172,IDIADA,176,7.8,6.1,6.7,000046A
NISSAN,FRONTIER o NP300 FRONTIER,PICK UP,4x4,RENAULT YS23 260 o YS23,2298,,MANUAL,GAS OIL,EURO V,123,31/08/2018,PC18040171,IDIADA,184,8,6.4,7,000047A
NISSAN,FRONTIER o NP300 FRONTIER,PICK UP,4x4,RENAULT YS23 260 o YS23,2298,,AUTOMÁTICA,GAS OIL,EURO V,124,31/08/2018,PC18040173,IDIADA,201,9.7,6.5,7.6,000048A
BMW,X4 xDrive 30i,SEDÁN 5 PUERTAS,4x4,BMW B48B20B,1998,,AUTOMÁTICA,NAFTA,EURO VI c,125,15/08/2018,201743689,DEKRA,177,9.3,6.9,7.8,000049A
RENAULT,ALASKAN 2.3 190 HP,CAMIONETA 4 PUERTAS,4x2,RENAULT YS23 260,2298,,MANUAL,GAS OIL,EURO V,126,15/08/2018,PC18040247,IDIADA,176,7.8,6.1,6.7,000050A
TOYOTA,HILUX,PICK UP CABINA DOBLE,4x4,TOYOTA 1GR-FE,3956,,AUTOMÁTICA,NAFTA,EURO V,128,13/08/2018,JSQ320063,VCA,282,16.5,9.6,12.1,000051A
MINI,COOPER S,SEDÁN 3 PUERTAS,4x2,MINI B48A20A,1998,,MANUAL,NAFTA,EURO VI c,129,31/08/2018,201742589,DEKRA,144,8,5.3,6.3,000052A
MINI,COOPER S,SEDÁN 5 PUERTAS,4x2,MINI B48A20A,1998,,MANUAL,NAFTA,EURO VI c,129,31/08/2018,201742589,DEKRA,147,8.1,5.5,6.4,000053A
MINI,COOPER S,CONVERTIBLE,4x2,MINI B48A20F,1998,,MANUAL,NAFTA,EURO VI c,129,31/08/2018,201742634,DEKRA,150,8.3,5.6,6.6,000054A
MINI,COOPER S,SEDÁN 3 PUERTAS,4x2,MINI B48A20A,1998,,AUTOMÁTICA,NAFTA,EURO VI c,130,31/08/2018,201742588,DEKRA,125,6.8,4.8,5.5,000055A
MINI,COOPER S,SEDÁN 5 PUERTAS,4x2,MINI B48A20A,1998,,AUTOMÁTICA,NAFTA,EURO VI c,130,31/08/2018,201742588,DEKRA,128,6.9,4.9,5.6,000056A
MINI,COOPER S,CONVERTIBLE,4x2,MINI B48A20F,1998,,AUTOMÁTICA,NAFTA,EURO VI c,130,31/08/2018,201742689,DEKRA,131,7,5.1,5.7,000057A
HONDA,HR-V,BERLINA 4 PUERTAS CON PORTÓN TRASERO,4x2,HONDA R18ZB,1799,,CVT,NAFTA,EURO V,131,03/09/2018,H1860552835/067,VINÇOTTE nv,151,8.2,5.5,6.5,000058A
VOLKSWAGEN,VENTO,SEDÁN 4 PUERTAS,4x2,VOLKSWAGEN CZDA,1395,,AUTOMÁTICA,NAFTA,EURO V,132,07/08/2018,CAE-17-2347 C2,CENTRO DE ANÁLISIS DE EMISIONES DE VW DE MÉXICO,142,8.34,4.86,6.16,000059A
DOMY,X5,SEDÁN,4x2,DOMY JT15T,1499,,MANUAL,NAFTA,EURO V,133,17/08/2018,CN17040185,IDIADA,185,10.41,6.78,8,000060A
RENAULT,ALASKAN 2.3 190 HP 4x4 AT,CAMIONETA 4 PUERTAS,4x4,RENAULT YS23 260,2298,,AUTOMÁTICA,GAS OIL,EURO V,134,17/08/2018,PC18040246,IDIADA,201,9.7,6.5,7.6,000061A
HYUNDAI,KONA,TODOTERRENO,4x4,HYUNDAI G4FJ,1591,,AUTIMÁTICA,NAFTA,EURO V,135,06/09/2018,RDW-715/2007-0056523,RDW,157.42,8.24,6.11,6.89,000073A
RENAULT,ALASKAN 2.3 190 HP 4x4 MT,CAMIONETA 4 PUERTAS,4x4,RENAULT YS23 260,2298,,MANUAL,GAS OIL,EURO V,136,17/08/2018,PC18040248,IDIADA,184,8,6.4,7,000062A
BAIC,D20,SEDÁN 4/5 PUERTAS,4x2,BAIC A131,1322,,MANUAL,NAFTA,EURO V,137,08/10/2018,CSQ315897,VCA,237.48,9.9,6.06,7.5,000063A
BAIC,X65,SEDÁN,4x2,BAIC B205EFA,1992,,AUTOMÁTICA,NAFTA,EURO V,138,08/10/2018,CSR330722,VCA,259,14.5,8.6,10.8,000064A
ZANELLA,Z TRUCK,CAMIONETA DE CARGA,4x2,FOTON 4W12M1,1206,,MANUAL,NAFTA,EURO V,139,31/08/2018,LC 1139 002 18,LUXCONTROL S.A.,176,9.6,6.5,7.6,000065A
ZANELLA,ZTRUCK DUO,CAMIONETA DE CARGA,4x2,FOTON 4W12M1,1206,,MANUAL,NAFTA,EURO V,139,31/08/2018,LC 1139 002 18,LUXCONTROL S.A.,176,9.6,6.5,7.6,000065A
RAM,RAM 1200 4X4 AT,PICK UP,4x4,MITSUBISHI 4N15,2442,,AUTOMATICA,GAS OIL,EURO V,140,17/08/2018,H1660156936/709,VINÇOTTE nv,207,9.2,6.8,7.7,000067A
RAM,RAM 1200 4X4 MT,PICK UP,4x4,MITSUBISHI 4N15,2442,,MANUAL,GAS OIL,EURO V,141,31/08/2018,H1760156936/519,VINÇOTTE nv,192,8.9,6.3,7.3,000068A
DOMY,X7,SEDÁN,4x2,DOMY TN4G18T,1799,,AUTOMÁTICA DCT,NAFTA,EURO V,142,17/08/2018,CN17080445,IDIADA,219,12.2,7.8,9.4,000069A
DOMY,X7,SEDÁN,4x2,MITSUBISHI 4G63S4T,1997,,AUTOMÁTICA DCT,NAFTA,EURO V,144,17/08/2018,CN17080446,IDIADA,216,12.3,7.6,9.3,000070A
FIAT,TORO VOLCANO TORO RANCH,CAMIONETA,4x4,FIAT 55261674,1956,,AUTOMATICA,GAS OIL,EURO V,150,04/09/2018,5180821,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL,215.39,9.9,7.19,8.19,000071A
FIAT,TORO FREEDOM,CAMIONETA,4x4,FIAT 55261674,1956,,AUTOMATICA,GAS OIL,EURO V,150,04/09/2018,5180821,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL,215.39,9.9,7.19,8.19,000071A
PEUGEOT,508,SEDÁN 4 PUERTAS,4x2,PSA EP6FADTX (5GG),1598,,AUTOMÁTICA,NAFTA,EURO VI b,152,04/12/2018,17/09572,UTAC,131.65,7.19,4.96,5.78,000161A
AUDI,A4,SEDÁN 4 PUERTAS,4x2,AUDI DEMA / VALEO IST60S,1984,,AUTOMÁTICA,NAFTA / ELECTRICIDAD,EURO VI c,154,21/09/2018,AUA5387A,ATE-EL LUXEMBOURG,131,7.3,4.9,5.8,000077A
AUDI,A4 - A4 AVANT,RURAL 4 PUERTAS CON PORTÓN TRASERO,4x2,AUDI DEMA / VALEO IST60S,1984,,AUTOMÁTICA,NAFTA / ELECTRICIDAD,EURO VI c,154,21/09/2018,AUA5387A,ATE-EL LUXEMBOURG,136,7.4,5.1,6,000078A
AUDI,A5 - A5 SPORTBACK,SEDÁN 4 PUERTAS CON PORTÓN TRASERO,4x2,AUDI DEMA / VALEO IST60S,1984,,AUTOMÁTICA,NAFTA / ELECTRICIDAD,EURO VI c,154,21/09/2018,AUA5387A,ATE-EL LUXEMBOURG,132,7.2,4.9,5.7,000079A
AUDI,A5 - A5 COUPE,COUPÉ 2 PUERTAS,4x2,AUDI DEMA / VALEO IST60S,1984,,AUTOMÁTICA,NAFTA / ELECTRICIDAD,EURO VI c,154,21/09/2018,AUA5387A,ATE-EL LUXEMBOURG,131,7.2,4.9,5.8,000080A
AUDI,A5 - A5 CABRIO,COUPÉ CONVERTIBLE 2 PUERTAS,4x2,AUDI DEMA / VALEO IST60S,1984,,AUTOMÁTICA,NAFTA / ELECTRICIDAD,EURO VI c,154,21/09/2018,AUA5387A,ATE-EL LUXEMBOURG,139,7.6,5.3,6.1,000081A
AUDI,A8 - A8 L,SEDÁN 4 PUERTAS,4x4,AUDI CXYA / CONTINENTAL BSG-HP1-65,3996,338,AUTOMÁTICA,NAFTA / ELECTRICIDAD,EURO VI b,155,21/09/2018,AUA5534A,ATE-EL LUXEMBOURG,228,13.8,7.9,10.1,000086A
FIAT,TORO 1.8 BZ AT6,CAMIONETA,4x2,FPT 55281002,1747,,AUTOMÁTICA,NAFTA,EURO V,156,04/09/2018,2180648,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL,189.42,10.22,6.89,8.12,000066A
MERCEDES-BENZ,A 250,FAMILIAR,4x2,MERCEDES-BENZ 260.920,1991,,AUTOMÁTICA,NAFTA,EURO VI b,157,21/09/2018,42.04.544.00,TÜV NORD Mobilität,144.5,8.7,5.2,6.5,000087A
AUDI,Q5,STATION WAGON - SUV - CROSSOVER 4 PUERTAS CON PORTÓN TRASERO,4x4,AUDI CVMD,2967,,AUTOMÁTICA,GAS OIL,EURO V,158,21/09/2018,AUA5440A,ATE-EL LUXEMBOURG,201,9,6.9,7.7,000090A
HYUNDAI,VELOSTER,SEDÁN 3 PUERTAS CON PORTÓN,4x2,HYUNDAI G4KH,1998,,MANUAL,NAFTA,EURO V,159,21/09/2018,83-V039-55199-23,TÜV Rheinland,215.75,12.91,7.04,9.21,000091A
AUDI,A4,SEDÁN 4 PUERTAS,4x2,AUDI DEMA / VALEO IST60S,1984,,MANUAL,NAFTA / ELECTRICIDAD,EURO VI c,160,01/10/2018,AUA5402A,ATE-EL LUXEMBOURG,135,7.7,5,6,000096A
AUDI,A4 - A4 AVANT,RURAL 4 PUERTAS CON PORTÓN TRASERO,4x2,AUDI DEMA / VALEO IST60S,1984,,MANUAL,NAFTA / ELECTRICIDAD,EURO VI c,160,01/10/2018,AUA5402A,ATE-EL LUXEMBOURG,139,7.8,5.1,6.1,000097A
AUDI,A5 - A5 SPORTBACK,SEDÁN 4 PUERTAS CON PORTÓN TRASERO,4x2,AUDI DEMA / VALEO IST60S,1984,,MANUAL,NAFTA / ELECTRICIDAD,EURO VI c,160,01/10/2018,AUA5402A,ATE-EL LUXEMBOURG,135,7.7,5,6,000098A
AUDI,A5 - A5 COUPE,COUPÉ 2 PUERTAS,4x2,AUDI DEMA / VALEO IST60S,1984,,MANUAL,NAFTA / ELECTRICIDAD,EURO VI c,160,01/10/2018,AUA5402A,ATE-EL LUXEMBOURG,134,7.7,4.9,5.9,000099A
